time,Hourly Demand Met (in MW)
10-Jan 3am,1811.01
10-Jan 4am,1871.32
10-Jan 5am,2176.95
10-Jan 6am,2913.58
10-Jan 7am,3865.78
10-Jan 8am,4704.89
10-Jan 9am,5151.64
10-Jan 10am,5433.73
10-Jan 11am,5343.46
10-Jan 12pm,5052.87
10-Jan 1pm,4438.69
10-Jan 2pm,4175.26
10-Jan 3pm,4005.26
10-Jan 4pm,3956.74
10-Jan 5pm,4115.98
10-Jan 6pm,4338.15
10-Jan 7pm,4251.92
10-Jan 8pm,4110.10
10-Jan 9pm,3870.28
10-Jan 10pm,3557.40
10-Jan 11pm,2936.55
11-Jan 12am,2361.31
11-Jan 1am,2039.89
11-Jan 2am,1889.86
11-Jan 3am,1819.38
11-Jan 4am,1876.30
11-Jan 5am,2170.81
11-Jan 6am,2917.87
11-Jan 7am,3874.27
11-Jan 8am,4698.69
11-Jan 9am,5171.62
11-Jan 10am,5414.79
11-Jan 11am,5292.03
11-Jan 12pm,4939.18
11-Jan 1pm,4438.71
11-Jan 2pm,4243.72
11-Jan 3pm,4089.97
11-Jan 4pm,4039.43
11-Jan 5pm,4211.80
11-Jan 6pm,4390.11
11-Jan 7pm,4326.21
11-Jan 8pm,4176.83
11-Jan 9pm,3945.41
11-Jan 10pm,3629.67
11-Jan 11pm,3066.17
12-Jan 12am,2537.25
12-Jan 1am,2199.92
12-Jan 2am,2057.75
12-Jan 3am,1983.86
12-Jan 4am,2040.88
12-Jan 5am,2306.12
12-Jan 6am,2969.34
12-Jan 7am,3911.45
12-Jan 8am,4617.98
12-Jan 9am,4915.07
12-Jan 10am,5095.69
12-Jan 11am,4917.39
12-Jan 12pm,4551.78
12-Jan 1pm,4005.18
12-Jan 2pm,3888.94
12-Jan 3pm,3758.37
12-Jan 4pm,3768.00
12-Jan 5pm,3924.84
12-Jan 6pm,4136.38
12-Jan 7pm,4043.84
12-Jan 8pm,3767.88
12-Jan 9pm,3524.67
12-Jan 10pm,3227.36
12-Jan 11pm,2722.50
13-Jan 12am,2232.62
13-Jan 1am,1922.94
13-Jan 2am,1778.91
13-Jan 3am,1718.42
13-Jan 4am,1778.07
13-Jan 5am,2071.43
13-Jan 6am,2769.85
13-Jan 7am,3715.29
13-Jan 8am,4433.62
13-Jan 9am,4823.92
13-Jan 10am,5068.73
13-Jan 11am,5029.50
13-Jan 12pm,4863.61
13-Jan 1pm,4306.23
13-Jan 2pm,4098.75
13-Jan 3pm,3891.87
13-Jan 4pm,3775.83
13-Jan 5pm,3883.30
13-Jan 6pm,4073.19
13-Jan 7pm,3970.51
13-Jan 8pm,3693.46
13-Jan 9pm,3442.95
13-Jan 10pm,3181.10
13-Jan 11pm,2797.71
14-Jan 12am,2361.53
14-Jan 1am,2083.83
14-Jan 2am,1933.57
14-Jan 3am,1865.19
14-Jan 4am,1920.02
14-Jan 5am,2209.16
14-Jan 6am,2832.41
14-Jan 7am,3605.93
14-Jan 8am,4247.38
14-Jan 9am,4564.11
14-Jan 10am,4749.93
14-Jan 11am,4595.36
14-Jan 12pm,4296.32
14-Jan 1pm,3765.00
14-Jan 2pm,3513.31
14-Jan 3pm,3347.37
14-Jan 4pm,3319.16
14-Jan 5pm,3491.33
14-Jan 6pm,3753.78
14-Jan 7pm,3719.57
14-Jan 8pm,3554.78
14-Jan 9pm,3395.67
14-Jan 10pm,3126.11
14-Jan 11pm,2633.55
15-Jan 12am,2239.57
15-Jan 1am,1986.06
15-Jan 2am,1855.56
15-Jan 3am,1773.79
15-Jan 4am,1805.74
15-Jan 5am,2040.95
15-Jan 6am,2533.55
15-Jan 7am,3295.24
15-Jan 8am,3993.75
15-Jan 9am,4486.13
15-Jan 10am,4757.70
15-Jan 11am,4678.92
15-Jan 12pm,4370.33
15-Jan 1pm,3882.21
15-Jan 2pm,3570.59
15-Jan 3pm,3396.17
15-Jan 4pm,3348.48
15-Jan 5pm,3548.94
15-Jan 6pm,3831.51
15-Jan 7pm,3802.41
15-Jan 8pm,3671.11
15-Jan 9pm,3524.04
15-Jan 10pm,3239.13
15-Jan 11pm,2742.97
16-Jan 12am,2282.08
16-Jan 1am,2005.37
16-Jan 2am,1844.97
16-Jan 3am,1796.72
16-Jan 4am,1868.96
16-Jan 5am,2256.14
16-Jan 6am,3173.44
16-Jan 7am,4087.11
16-Jan 8am,4512.73
16-Jan 9am,4739.99
16-Jan 10am,4939.65
16-Jan 11am,4776.36
16-Jan 12pm,4464.49
16-Jan 1pm,3967.10
16-Jan 2pm,3838.90
16-Jan 3pm,3749.18
16-Jan 4pm,3714.91
16-Jan 5pm,3931.06
16-Jan 6pm,4176.18
16-Jan 7pm,4123.91
16-Jan 8pm,3904.04
16-Jan 9pm,3708.78
16-Jan 10pm,3358.09
16-Jan 11pm,2765.30
17-Jan 12am,2253.64
17-Jan 1am,1956.17
17-Jan 2am,1811.93
17-Jan 3am,1740.81
17-Jan 4am,1824.68
17-Jan 5am,2238.23
17-Jan 6am,3277.01
17-Jan 7am,4214.67
17-Jan 8am,4637.20
17-Jan 9am,4849.74
17-Jan 10am,4945.35
17-Jan 11am,4760.18
17-Jan 12pm,4435.39
17-Jan 1pm,3910.70
17-Jan 2pm,3830.74
17-Jan 3pm,3745.63
17-Jan 4pm,3680.10
17-Jan 5pm,3911.11
17-Jan 6pm,4207.82
17-Jan 7pm,4180.13
17-Jan 8pm,3943.79
17-Jan 9pm,3743.95
17-Jan 10pm,3391.44
17-Jan 11pm,2789.41
18-Jan 12am,2253.20
18-Jan 1am,1955.42
18-Jan 2am,1811.82
18-Jan 3am,1744.68
18-Jan 4am,1824.27
18-Jan 5am,2253.59
18-Jan 6am,3333.14
18-Jan 7am,4268.09
18-Jan 8am,4653.53
18-Jan 9am,4878.79
18-Jan 10am,5036.36
18-Jan 11am,4840.50
18-Jan 12pm,4492.24
18-Jan 1pm,3996.14
18-Jan 2pm,3899.90
18-Jan 3pm,3803.51
18-Jan 4pm,3768.46
18-Jan 5pm,3954.58
18-Jan 6pm,4217.27
18-Jan 7pm,4199.04
18-Jan 8pm,3982.07
18-Jan 9pm,3759.30
18-Jan 10pm,3378.98
18-Jan 11pm,2784.25
19-Jan 12am,2259.44
19-Jan 1am,1951.16
19-Jan 2am,1804.89
19-Jan 3am,1748.51
19-Jan 4am,1821.56
19-Jan 5am,2233.61
19-Jan 6am,3266.09
19-Jan 7am,4170.76
19-Jan 8am,4482.22
19-Jan 9am,4678.05
19-Jan 10am,4762.78
19-Jan 11am,4572.76
19-Jan 12pm,4240.19
19-Jan 1pm,3797.95
19-Jan 2pm,3748.71
19-Jan 3pm,3668.01
19-Jan 4pm,3653.94
19-Jan 5pm,3906.64
19-Jan 6pm,4129.26
19-Jan 7pm,4035.12
19-Jan 8pm,3786.80
19-Jan 9pm,3518.19
19-Jan 10pm,3181.74
19-Jan 11pm,2642.43
20-Jan 12am,2162.59
20-Jan 1am,1895.27
20-Jan 2am,1761.61
20-Jan 3am,1699.19
20-Jan 4am,1776.21
20-Jan 5am,2200.17
20-Jan 6am,3231.67
20-Jan 7am,4072.25
20-Jan 8am,4485.97
20-Jan 9am,4700.67
20-Jan 10am,4821.72
20-Jan 11am,4710.84
20-Jan 12pm,4398.24
20-Jan 1pm,3910.22
20-Jan 2pm,3730.81
20-Jan 3pm,3609.27
20-Jan 4pm,3525.32
20-Jan 5pm,3658.06
20-Jan 6pm,3909.79
20-Jan 7pm,3837.02
20-Jan 8pm,3639.87
20-Jan 9pm,3342.26
20-Jan 10pm,3033.47
20-Jan 11pm,2572.44
21-Jan 12am,2122.74
21-Jan 1am,1868.69
21-Jan 2am,1732.81
21-Jan 3am,1689.88
21-Jan 4am,1777.52
21-Jan 5am,2153.38
21-Jan 6am,2975.97
21-Jan 7am,3764.67
21-Jan 8am,4134.44
21-Jan 9am,4302.60
21-Jan 10am,4456.14
21-Jan 11am,4313.47
21-Jan 12pm,4002.42
21-Jan 1pm,3540.21
21-Jan 2pm,3435.70
21-Jan 3pm,3320.13
21-Jan 4pm,3260.93
21-Jan 5pm,3464.75
21-Jan 6pm,3680.30
21-Jan 7pm,3611.89
21-Jan 8pm,3367.63
21-Jan 9pm,3157.22
21-Jan 10pm,2872.00
21-Jan 11pm,2430.74
22-Jan 12am,2034.99
22-Jan 1am,1785.12
22-Jan 2am,1657.53
22-Jan 3am,1597.82
22-Jan 4am,1654.68
22-Jan 5am,1895.41
22-Jan 6am,2411.16
22-Jan 7am,3129.47
22-Jan 8am,3781.42
22-Jan 9am,4241.02
22-Jan 10am,4558.51
22-Jan 11am,4461.20
22-Jan 12pm,4310.98
22-Jan 1pm,3760.27
22-Jan 2pm,3482.55
22-Jan 3pm,3200.84
22-Jan 4pm,3099.34
22-Jan 5pm,3226.88
22-Jan 6pm,3473.65
22-Jan 7pm,3421.85
22-Jan 8pm,3236.27
22-Jan 9pm,3046.70
22-Jan 10pm,2762.00
22-Jan 11pm,2330.55
23-Jan 12am,1944.29
23-Jan 1am,1712.80
23-Jan 2am,1604.27
23-Jan 3am,1561.40
23-Jan 4am,1658.00
23-Jan 5am,2097.12
23-Jan 6am,3121.65
23-Jan 7am,3887.92
23-Jan 8am,4149.55
23-Jan 9am,4309.32
23-Jan 10am,4365.78
23-Jan 11am,4203.57
23-Jan 12pm,3926.28
23-Jan 1pm,3500.12
23-Jan 2pm,3432.62
23-Jan 3pm,3350.10
23-Jan 4pm,3289.38
23-Jan 5pm,3418.83
23-Jan 6pm,3660.37
23-Jan 7pm,3625.90
23-Jan 8pm,3350.19
23-Jan 9pm,3072.97
23-Jan 10pm,2772.99
