time,Hourly Demand Met (in MW)
10-Apr 3am,2335.22
10-Apr 4am,2373.27
10-Apr 5am,2601.86
10-Apr 6am,3083.12
10-Apr 7am,3229.71
10-Apr 8am,3228.72
10-Apr 9am,3468.08
10-Apr 10am,3749.88
10-Apr 11am,3796.14
10-Apr 12pm,3748.57
10-Apr 1pm,3534.56
10-Apr 2pm,3618.00
10-Apr 3pm,3627.70
10-Apr 4pm,3588.23
10-Apr 5pm,3621.48
10-Apr 6pm,3661.85
10-Apr 7pm,3684.20
10-Apr 8pm,3481.15
10-Apr 9pm,3250.71
10-Apr 10pm,3162.59
10-Apr 11pm,2982.53
11-Apr 12am,2809.78
11-Apr 1am,2647.82
11-Apr 2am,2539.25
11-Apr 3am,2474.10
11-Apr 4am,2504.72
11-Apr 5am,2726.74
11-Apr 6am,3262.41
11-Apr 7am,3349.07
11-Apr 8am,3318.73
11-Apr 9am,3540.10
11-Apr 10am,3786.03
11-Apr 11am,3892.26
11-Apr 12pm,3856.88
11-Apr 1pm,3626.71
11-Apr 2pm,3752.35
11-Apr 3pm,3856.13
11-Apr 4pm,3865.86
11-Apr 5pm,3879.00
11-Apr 6pm,3850.89
11-Apr 7pm,3865.06
11-Apr 8pm,3651.27
11-Apr 9pm,3427.59
11-Apr 10pm,3324.55
11-Apr 11pm,3175.04
12-Apr 12am,2996.94
12-Apr 1am,2831.25
12-Apr 2am,2732.13
12-Apr 3am,2664.77
12-Apr 4am,2685.76
12-Apr 5am,2893.77
12-Apr 6am,3359.11
12-Apr 7am,3420.87
12-Apr 8am,3415.39
12-Apr 9am,3682.58
12-Apr 10am,4048.64
12-Apr 11am,4124.83
12-Apr 12pm,4111.34
12-Apr 1pm,3849.46
12-Apr 2pm,3953.46
12-Apr 3pm,4085.33
12-Apr 4pm,4050.44
12-Apr 5pm,4029.42
12-Apr 6pm,3936.73
12-Apr 7pm,3975.41
12-Apr 8pm,3807.96
12-Apr 9pm,3582.40
12-Apr 10pm,3513.76
12-Apr 11pm,3393.11
13-Apr 12am,3190.99
13-Apr 1am,3015.11
13-Apr 2am,2893.40
13-Apr 3am,2806.87
13-Apr 4am,2811.64
13-Apr 5am,2985.52
13-Apr 6am,3401.56
13-Apr 7am,3435.13
13-Apr 8am,3420.10
13-Apr 9am,3676.14
13-Apr 10am,4061.86
13-Apr 11am,4207.50
13-Apr 12pm,4197.52
13-Apr 1pm,3960.32
13-Apr 2pm,4149.95
13-Apr 3pm,4253.81
13-Apr 4pm,4253.01
13-Apr 5pm,4239.66
13-Apr 6pm,4129.25
13-Apr 7pm,4114.85
13-Apr 8pm,3954.24
13-Apr 9pm,3744.82
13-Apr 10pm,3709.58
13-Apr 11pm,3641.67
14-Apr 12am,3451.59
14-Apr 1am,3248.22
14-Apr 2am,3106.38
14-Apr 3am,2991.23
14-Apr 4am,2966.08
14-Apr 5am,3043.21
14-Apr 6am,3219.25
14-Apr 7am,3340.40
14-Apr 8am,3455.05
14-Apr 9am,3699.10
14-Apr 10am,3989.62
14-Apr 11am,4226.07
14-Apr 12pm,4279.69
14-Apr 1pm,3998.29
14-Apr 2pm,4126.02
14-Apr 3pm,4208.12
14-Apr 4pm,4197.08
14-Apr 5pm,4154.27
14-Apr 6pm,4121.79
14-Apr 7pm,4124.69
14-Apr 8pm,4017.17
14-Apr 9pm,3827.69
14-Apr 10pm,3859.66
14-Apr 11pm,3831.61
15-Apr 12am,3669.54
15-Apr 1am,3461.35
15-Apr 2am,3289.26
15-Apr 3am,3144.28
15-Apr 4am,3113.59
15-Apr 5am,3192.75
15-Apr 6am,3370.34
15-Apr 7am,3403.57
15-Apr 8am,3424.84
15-Apr 9am,3646.08
15-Apr 10am,3990.79
15-Apr 11am,4155.42
15-Apr 12pm,4115.68
15-Apr 1pm,4022.89
15-Apr 2pm,4169.74
15-Apr 3pm,4281.83
15-Apr 4pm,4271.08
15-Apr 5pm,4216.83
15-Apr 6pm,4101.70
15-Apr 7pm,4110.25
15-Apr 8pm,4050.06
15-Apr 9pm,3960.73
15-Apr 10pm,3987.08
15-Apr 11pm,3913.24
16-Apr 12am,3878.82
16-Apr 1am,3675.38
16-Apr 2am,3501.54
16-Apr 3am,3331.89
16-Apr 4am,3261.90
16-Apr 5am,3264.31
16-Apr 6am,3294.40
16-Apr 7am,3323.42
16-Apr 8am,3323.04
16-Apr 9am,3486.86
16-Apr 10am,3632.90
16-Apr 11am,3765.69
16-Apr 12pm,3833.40
16-Apr 1pm,3750.86
16-Apr 2pm,3972.69
16-Apr 3pm,4109.73
16-Apr 4pm,4073.31
16-Apr 5pm,4035.27
16-Apr 6pm,3984.78
16-Apr 7pm,4047.13
16-Apr 8pm,4081.59
16-Apr 9pm,4141.54
16-Apr 10pm,4305.39
16-Apr 11pm,4306.33
17-Apr 12am,4087.99
17-Apr 1am,3827.05
17-Apr 2am,3620.68
17-Apr 3am,3477.83
17-Apr 4am,3395.20
17-Apr 5am,3439.78
17-Apr 6am,3591.05
17-Apr 7am,3570.24
17-Apr 8am,3595.96
17-Apr 9am,3920.59
17-Apr 10am,4343.00
17-Apr 11am,4499.84
17-Apr 12pm,4541.85
17-Apr 1pm,4358.02
17-Apr 2pm,4563.59
17-Apr 3pm,4791.93
17-Apr 4pm,5003.86
17-Apr 5pm,4801.13
17-Apr 6pm,4576.35
17-Apr 7pm,4603.02
17-Apr 8pm,4565.17
17-Apr 9pm,4559.91
17-Apr 10pm,4772.18
17-Apr 11pm,4856.97
18-Apr 12am,4652.22
18-Apr 1am,4345.01
18-Apr 2am,4105.81
18-Apr 3am,3886.28
18-Apr 4am,3759.22
18-Apr 5am,3756.44
