time,Hourly Demand Met (in MW)
10-Apr 3am,22090.47
10-Apr 4am,22351.22
10-Apr 5am,22882.91
10-Apr 6am,23803.65
10-Apr 7am,23616.19
10-Apr 8am,23618.54
10-Apr 9am,24236.52
10-Apr 10am,25034.86
10-Apr 11am,25472.10
10-Apr 12pm,25708.05
10-Apr 1pm,25394.14
10-Apr 2pm,26162.88
10-Apr 3pm,26720.71
10-Apr 4pm,25959.21
10-Apr 5pm,25110.52
10-Apr 6pm,24536.25
10-Apr 7pm,25190.72
10-Apr 8pm,24964.14
10-Apr 9pm,24543.63
10-Apr 10pm,24415.93
10-Apr 11pm,24995.17
11-Apr 12am,24993.83
11-Apr 1am,24729.93
11-Apr 2am,24223.83
11-Apr 3am,24069.42
11-Apr 4am,24461.27
11-Apr 5am,24955.65
11-Apr 6am,25437.41
11-Apr 7am,24755.60
11-Apr 8am,24830.00
11-Apr 9am,25583.02
11-Apr 10am,26716.63
11-Apr 11am,27136.97
11-Apr 12pm,27214.85
11-Apr 1pm,27231.11
11-Apr 2pm,27428.21
11-Apr 3pm,28022.98
11-Apr 4pm,26594.97
11-Apr 5pm,26040.96
11-Apr 6pm,24890.87
11-Apr 7pm,24731.93
11-Apr 8pm,24609.23
11-Apr 9pm,24224.97
11-Apr 10pm,24430.94
11-Apr 11pm,25139.10
12-Apr 12am,25037.46
12-Apr 1am,24885.35
12-Apr 2am,24366.86
12-Apr 3am,24136.18
12-Apr 4am,24466.98
12-Apr 5am,25079.81
12-Apr 6am,25444.75
12-Apr 7am,24903.08
12-Apr 8am,24728.77
12-Apr 9am,25573.94
12-Apr 10am,26597.51
12-Apr 11am,26830.18
12-Apr 12pm,26873.72
12-Apr 1pm,26551.69
12-Apr 2pm,27023.61
12-Apr 3pm,27508.66
12-Apr 4pm,27555.02
12-Apr 5pm,26721.65
12-Apr 6pm,25751.51
12-Apr 7pm,25812.51
12-Apr 8pm,25328.57
12-Apr 9pm,25095.81
12-Apr 10pm,25549.38
12-Apr 11pm,26092.67
13-Apr 12am,26017.48
13-Apr 1am,25614.87
13-Apr 2am,24896.04
13-Apr 3am,24787.15
13-Apr 4am,25168.61
13-Apr 5am,25506.30
13-Apr 6am,25756.36
13-Apr 7am,24944.19
13-Apr 8am,24958.31
13-Apr 9am,25816.12
13-Apr 10am,26931.50
13-Apr 11am,27942.45
13-Apr 12pm,27893.62
13-Apr 1pm,27748.82
13-Apr 2pm,27998.26
13-Apr 3pm,28113.98
13-Apr 4pm,27697.68
13-Apr 5pm,26911.42
13-Apr 6pm,25556.19
13-Apr 7pm,25642.24
13-Apr 8pm,24924.74
13-Apr 9pm,24453.71
13-Apr 10pm,24688.00
13-Apr 11pm,25099.59
14-Apr 12am,24998.06
14-Apr 1am,24934.75
14-Apr 2am,24631.71
14-Apr 3am,24312.94
14-Apr 4am,24320.87
14-Apr 5am,24584.23
14-Apr 6am,24917.00
14-Apr 7am,24379.38
14-Apr 8am,24636.79
14-Apr 9am,25876.40
14-Apr 10am,27095.78
14-Apr 11am,27863.86
14-Apr 12pm,27664.24
14-Apr 1pm,27387.85
14-Apr 2pm,27904.24
