time,Hourly Demand Met (in MW)
10-Jan 3am,18735.08
10-Jan 4am,19304.66
10-Jan 5am,20404.71
10-Jan 6am,21802.32
10-Jan 7am,23298.82
10-Jan 8am,24334.91
10-Jan 9am,25526.89
10-Jan 10am,26465.85
10-Jan 11am,26326.04
10-Jan 12pm,25598.34
10-Jan 1pm,24786.28
10-Jan 2pm,24654.24
10-Jan 3pm,25046.70
10-Jan 4pm,24613.49
10-Jan 5pm,23588.58
10-Jan 6pm,23316.43
10-Jan 7pm,23350.29
10-Jan 8pm,21935.77
10-Jan 9pm,20948.19
10-Jan 10pm,20168.97
10-Jan 11pm,19639.45
11-Jan 12am,19378.28
11-Jan 1am,19395.93
11-Jan 2am,19271.73
11-Jan 3am,19338.40
11-Jan 4am,19853.06
11-Jan 5am,20794.77
11-Jan 6am,22209.69
11-Jan 7am,23577.26
11-Jan 8am,24367.16
11-Jan 9am,25095.33
11-Jan 10am,26290.40
11-Jan 11am,26291.18
11-Jan 12pm,25742.58
11-Jan 1pm,24901.20
11-Jan 2pm,25034.31
11-Jan 3pm,25123.45
11-Jan 4pm,24384.20
11-Jan 5pm,23165.20
11-Jan 6pm,23172.35
11-Jan 7pm,23149.31
11-Jan 8pm,21810.26
11-Jan 9pm,20919.72
11-Jan 10pm,20115.15
11-Jan 11pm,19589.28
12-Jan 12am,19320.54
12-Jan 1am,19416.62
12-Jan 2am,19115.57
12-Jan 3am,19172.78
12-Jan 4am,19662.26
12-Jan 5am,20691.00
12-Jan 6am,21874.04
12-Jan 7am,23328.31
12-Jan 8am,24296.23
12-Jan 9am,25696.61
12-Jan 10am,26656.18
12-Jan 11am,26393.83
12-Jan 12pm,25706.20
12-Jan 1pm,24901.08
12-Jan 2pm,24937.80
12-Jan 3pm,24965.90
12-Jan 4pm,24187.59
12-Jan 5pm,23007.80
12-Jan 6pm,22897.68
12-Jan 7pm,23174.76
12-Jan 8pm,21801.34
12-Jan 9pm,20841.51
12-Jan 10pm,20147.65
12-Jan 11pm,19759.95
13-Jan 12am,19392.19
13-Jan 1am,19392.56
13-Jan 2am,19413.54
13-Jan 3am,19532.98
13-Jan 4am,20079.08
13-Jan 5am,21181.74
13-Jan 6am,22462.45
13-Jan 7am,23792.53
13-Jan 8am,24625.64
13-Jan 9am,25414.62
13-Jan 10am,26616.84
13-Jan 11am,26290.09
13-Jan 12pm,25763.81
13-Jan 1pm,24791.05
13-Jan 2pm,24485.92
13-Jan 3pm,24584.90
13-Jan 4pm,23978.72
13-Jan 5pm,22797.79
13-Jan 6pm,22759.83
13-Jan 7pm,22902.24
13-Jan 8pm,21548.65
13-Jan 9pm,20627.80
13-Jan 10pm,19985.42
13-Jan 11pm,19575.53
14-Jan 12am,19286.10
14-Jan 1am,19464.51
14-Jan 2am,19411.87
14-Jan 3am,19412.23
14-Jan 4am,20014.07
14-Jan 5am,20938.36
14-Jan 6am,22127.66
14-Jan 7am,23313.04
14-Jan 8am,24231.33
14-Jan 9am,25614.94
14-Jan 10am,26625.00
14-Jan 11am,26206.59
14-Jan 12pm,25465.87
14-Jan 1pm,24542.42
14-Jan 2pm,24519.82
14-Jan 3pm,24427.81
14-Jan 4pm,23843.04
14-Jan 5pm,22947.48
14-Jan 6pm,22496.90
14-Jan 7pm,22581.28
14-Jan 8pm,21288.00
14-Jan 9pm,20458.47
14-Jan 10pm,19805.48
14-Jan 11pm,19345.74
15-Jan 12am,19156.01
15-Jan 1am,19206.22
15-Jan 2am,19162.46
15-Jan 3am,19303.42
15-Jan 4am,19822.29
15-Jan 5am,20673.58
15-Jan 6am,21418.96
15-Jan 7am,22440.61
15-Jan 8am,23664.99
15-Jan 9am,25004.12
15-Jan 10am,26241.91
15-Jan 11am,25943.22
15-Jan 12pm,25015.94
15-Jan 1pm,24048.89
15-Jan 2pm,23676.52
15-Jan 3pm,23607.25
15-Jan 4pm,22701.71
15-Jan 5pm,21383.03
15-Jan 6pm,21031.01
15-Jan 7pm,21153.22
15-Jan 8pm,20157.46
15-Jan 9pm,19650.24
15-Jan 10pm,19142.58
15-Jan 11pm,18810.52
16-Jan 12am,18686.55
16-Jan 1am,18795.49
16-Jan 2am,18737.83
16-Jan 3am,18860.46
16-Jan 4am,19420.06
16-Jan 5am,20509.79
16-Jan 6am,21881.12
16-Jan 7am,23463.48
16-Jan 8am,24633.59
16-Jan 9am,25828.88
16-Jan 10am,26658.06
16-Jan 11am,26159.10
16-Jan 12pm,25602.22
16-Jan 1pm,24859.39
16-Jan 2pm,24908.48
16-Jan 3pm,25066.49
16-Jan 4pm,24352.96
16-Jan 5pm,23161.15
16-Jan 6pm,23024.99
16-Jan 7pm,23115.16
16-Jan 8pm,21722.46
16-Jan 9pm,20822.00
16-Jan 10pm,20254.65
16-Jan 11pm,19677.94
17-Jan 12am,19370.94
17-Jan 1am,19418.81
17-Jan 2am,19478.22
17-Jan 3am,19532.80
17-Jan 4am,20123.12
17-Jan 5am,21188.48
17-Jan 6am,22660.16
17-Jan 7am,24106.48
17-Jan 8am,25164.72
17-Jan 9am,26271.79
17-Jan 10am,27016.15
17-Jan 11am,26541.81
17-Jan 12pm,25956.80
17-Jan 1pm,25117.53
17-Jan 2pm,25199.32
17-Jan 3pm,25087.62
17-Jan 4pm,24554.18
17-Jan 5pm,23449.77
17-Jan 6pm,23246.68
17-Jan 7pm,23463.60
17-Jan 8pm,22011.90
17-Jan 9pm,21143.12
17-Jan 10pm,20544.51
17-Jan 11pm,20185.86
18-Jan 12am,19918.09
18-Jan 1am,19945.42
18-Jan 2am,19772.04
18-Jan 3am,19857.97
18-Jan 4am,20360.46
18-Jan 5am,21297.65
18-Jan 6am,22816.01
18-Jan 7am,24075.42
18-Jan 8am,25253.62
18-Jan 9am,26391.35
18-Jan 10am,27194.70
18-Jan 11am,26829.62
18-Jan 12pm,26058.08
18-Jan 1pm,25296.67
18-Jan 2pm,25331.63
18-Jan 3pm,25240.96
18-Jan 4pm,24600.48
18-Jan 5pm,23370.65
18-Jan 6pm,23259.53
18-Jan 7pm,23541.86
18-Jan 8pm,22093.76
18-Jan 9pm,21146.66
18-Jan 10pm,20589.98
18-Jan 11pm,20114.32
19-Jan 12am,19665.62
19-Jan 1am,19746.81
19-Jan 2am,19792.64
19-Jan 3am,19805.04
19-Jan 4am,20382.73
19-Jan 5am,21272.55
19-Jan 6am,22703.38
19-Jan 7am,24011.85
19-Jan 8am,24958.37
19-Jan 9am,26230.56
19-Jan 10am,27121.13
19-Jan 11am,26756.89
19-Jan 12pm,25817.43
19-Jan 1pm,25334.99
19-Jan 2pm,25231.82
19-Jan 3pm,25193.11
19-Jan 4pm,24515.53
19-Jan 5pm,23387.99
19-Jan 6pm,23209.47
19-Jan 7pm,23439.52
19-Jan 8pm,21937.65
19-Jan 9pm,21067.13
19-Jan 10pm,20498.17
19-Jan 11pm,20171.68
20-Jan 12am,19937.24
20-Jan 1am,19978.58
20-Jan 2am,20038.58
20-Jan 3am,20049.11
20-Jan 4am,20503.73
20-Jan 5am,21386.41
20-Jan 6am,22687.23
20-Jan 7am,23756.79
20-Jan 8am,24801.66
20-Jan 9am,25732.49
20-Jan 10am,26692.63
20-Jan 11am,26476.88
20-Jan 12pm,25820.54
20-Jan 1pm,25282.10
20-Jan 2pm,25009.07
20-Jan 3pm,25104.71
20-Jan 4pm,24388.55
20-Jan 5pm,23186.11
20-Jan 6pm,23066.43
20-Jan 7pm,23372.99
20-Jan 8pm,22072.71
20-Jan 9pm,21534.97
20-Jan 10pm,20596.98
20-Jan 11pm,20260.77
21-Jan 12am,19880.31
21-Jan 1am,20075.49
21-Jan 2am,19951.06
21-Jan 3am,19974.48
21-Jan 4am,20488.67
21-Jan 5am,21223.76
21-Jan 6am,22151.37
21-Jan 7am,22825.65
21-Jan 8am,24286.64
21-Jan 9am,25594.44
21-Jan 10am,26743.68
21-Jan 11am,26338.06
21-Jan 12pm,25954.63
21-Jan 1pm,25069.15
21-Jan 2pm,25170.29
21-Jan 3pm,25108.42
21-Jan 4pm,24446.85
21-Jan 5pm,22929.99
21-Jan 6pm,22629.69
21-Jan 7pm,22714.48
21-Jan 8pm,21522.17
21-Jan 9pm,21101.08
21-Jan 10pm,20513.23
21-Jan 11pm,20198.39
22-Jan 12am,19911.89
22-Jan 1am,19987.75
22-Jan 2am,19913.80
22-Jan 3am,19988.61
22-Jan 4am,20458.94
22-Jan 5am,21198.23
22-Jan 6am,21780.51
22-Jan 7am,22575.58
22-Jan 8am,23529.82
22-Jan 9am,24565.28
22-Jan 10am,25705.81
22-Jan 11am,25562.98
22-Jan 12pm,25177.08
22-Jan 1pm,24143.05
22-Jan 2pm,23970.91
22-Jan 3pm,23800.82
22-Jan 4pm,22846.39
22-Jan 5pm,21863.46
22-Jan 6pm,21581.95
22-Jan 7pm,21734.62
22-Jan 8pm,20525.49
22-Jan 9pm,19849.31
22-Jan 10pm,19452.44
22-Jan 11pm,19133.18
23-Jan 12am,18921.05
23-Jan 1am,18987.27
23-Jan 2am,18828.97
23-Jan 3am,18831.58
23-Jan 4am,19282.35
23-Jan 5am,20630.27
23-Jan 6am,21967.85
23-Jan 7am,23244.92
23-Jan 8am,24350.86
23-Jan 9am,25205.35
23-Jan 10am,26036.23
23-Jan 11am,26236.77
23-Jan 12pm,25846.94
23-Jan 1pm,25076.20
23-Jan 2pm,24878.21
23-Jan 3pm,25087.62
23-Jan 4pm,24329.70
23-Jan 5pm,23053.08
23-Jan 6pm,22857.86
23-Jan 7pm,23121.22
23-Jan 8pm,21708.18
23-Jan 9pm,21041.04
23-Jan 10pm,20346.06
23-Jan 11pm,19806.58
24-Jan 12am,19505.64
24-Jan 1am,19754.86
24-Jan 2am,19934.18
24-Jan 3am,19974.42
24-Jan 4am,20390.14
24-Jan 5am,21185.24
24-Jan 6am,22392.23
24-Jan 7am,23958.49
24-Jan 8am,25102.85
24-Jan 9am,25973.46
24-Jan 10am,27324.95
24-Jan 11am,26843.91
24-Jan 12pm,25962.38
24-Jan 1pm,25067.63
24-Jan 2pm,25009.39
24-Jan 3pm,25336.01
24-Jan 4pm,24695.30
24-Jan 5pm,23176.71
24-Jan 6pm,23150.92
24-Jan 7pm,23489.00
24-Jan 8pm,21996.66
24-Jan 9pm,21334.55
24-Jan 10pm,20568.49
24-Jan 11pm,19896.06
25-Jan 12am,19842.85
25-Jan 1am,19901.75
25-Jan 2am,19518.53
25-Jan 3am,19546.85
25-Jan 4am,20145.21
25-Jan 5am,21119.47
25-Jan 6am,22616.85
25-Jan 7am,24010.14
25-Jan 8am,25332.96
25-Jan 9am,26302.70
25-Jan 10am,27374.00
25-Jan 11am,26542.74
25-Jan 12pm,25744.49
25-Jan 1pm,24967.20
25-Jan 2pm,25068.14
25-Jan 3pm,25185.12
25-Jan 4pm,24559.90
25-Jan 5pm,23312.70
25-Jan 6pm,23097.33
25-Jan 7pm,23181.46
25-Jan 8pm,21837.37
25-Jan 9pm,20789.67
25-Jan 10pm,20055.13
25-Jan 11pm,19610.24
26-Jan 12am,19133.22
26-Jan 1am,19134.82
26-Jan 2am,19013.85
26-Jan 3am,18868.27
26-Jan 4am,19571.56
26-Jan 5am,20971.15
26-Jan 6am,22233.42
26-Jan 7am,22455.95
26-Jan 8am,22239.52
26-Jan 9am,22416.73
26-Jan 10am,22931.64
26-Jan 11am,22781.56
26-Jan 12pm,22268.29
26-Jan 1pm,21784.22
26-Jan 2pm,21470.71
26-Jan 3pm,21450.93
26-Jan 4pm,20740.44
26-Jan 5pm,19591.82
26-Jan 6pm,19503.52
26-Jan 7pm,20031.07
26-Jan 8pm,18898.32
26-Jan 9pm,18240.42
26-Jan 10pm,17906.29
26-Jan 11pm,17525.47
27-Jan 12am,17350.21
27-Jan 1am,17480.79
27-Jan 2am,17564.12
27-Jan 3am,17695.46
27-Jan 4am,18327.81
27-Jan 5am,19362.11
27-Jan 6am,20870.05
27-Jan 7am,22462.38
27-Jan 8am,24013.71
27-Jan 9am,25336.79
27-Jan 10am,26261.31
27-Jan 11am,25884.64
27-Jan 12pm,25324.15
27-Jan 1pm,24486.22
27-Jan 2pm,24349.04
27-Jan 3pm,24390.48
27-Jan 4pm,23802.42
27-Jan 5pm,22683.52
27-Jan 6pm,22514.31
